#param n_v := 2;  # 1-truck, 2-car
#param m   := 2;

param n_v := 10;  # 1-truck, 2-car
param m   := 10;

param start_inv	:=	1 100
	 		2 200
			3 100
	 		4 200
			5 100
	 		6 200
			7 100
	 		8 200
			9 100
	 		10 200;

param demand : 	   1    2    3    4    5    6    7    8    9     10 :=
				1 100  300  200  200  400   300   200   100   100   300 
				2 200  300  200  200  400   200   300   300   100   300 
				3 200  300  200  200  100   100   200   300   100   300 
				4 300  300  200  200  100   100   200   300   100   300 
				5 100  300  200  200  100   100   200   300   100   300 
				6 80  100  200  100  200   100   100   100   100   100 
				7 80  100  200  100  200   100   100   100   100   100 
				8 80  100  200  100  200   100   100   100   100   100 
				9 80  100  200  100  200   100   100   100   100   100 
			   10 80  300	 200  100  100   200   100   100   100   100 	;

param steel_usage := 	1  2
			2  1
3  2
			4  1
5  2
			6  1
7  2
			8  1
9  2
			10  1			;

param cost_steel  := 	1  400
			2  600 
			3  400
			4  600
			5  400
			6  300
			7  500
			8  200
			9  500
			10  200
			;

param cost_inv := 150;

param max_steel   :=  	1  2500
			2  2500
	3  2500
			4  2500
	5  2500
			6  2500
	7  2500
			8  2500
	9  2500
			10  2500			;

param max_vehicles:=	1  5000
			2  5000 
			3  5000
			4  5000
			5  5000
			6  5000
			7  5000
			8  5000
			9  5000
			10  5000;

param mpg_vehicle :=	1  10
			2  20
3  10
			4  20
5  10
			6  20
7  10
			8  20
9  10
			10  20			;

param min_mpg := 16;

